Approved Symbol	Approved Name	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Ensembl ID(supplied by Ensembl)
ANKS4B	ankyrin repeat and sterile alpha motif domain containing 4B			FLJ38819, HARP		ENSG00000175311
ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	SAMD6, ANKRD14	"sterile alpha motif domain containing 6", "ankyrin repeat domain 14"	FLJ36928, NPHP16		ENSG00000165138
ANKUB1	ankyrin repeat and ubiquitin domain containing 1	C3orf16	"chromosome 3 open reading frame 16"			ENSG00000206199
ANKZF1	ankyrin repeat and zinc finger domain containing 1			FLJ10415, ZNF744		ENSG00000163516
ANLN	anillin, actin binding protein		"anillin (Drosophila Scraps homolog), actin binding protein", "anillin, actin binding protein (scraps homolog, Drosophila)"	ANILLIN, Scraps, scra		ENSG00000011426
ANO1	anoctamin 1, calcium activated chloride channel	ORAOV2, TMEM16A	"oral cancer overexpressed 2", "transmembrane protein 16A"	TAOS2, FLJ10261, DOG1		ENSG00000131620
ANO1-AS1	ANO1 antisense RNA 1		"ANO1 antisense RNA 1 (non-protein coding)"			ENSG00000254902
ANO1-AS2	ANO1 antisense RNA 2 (head to head)	C11orf78, NCRNA00224	"chromosome 11 open reading frame 78", "non-protein coding RNA 224", "ANO1 antisense RNA 2 (non-protein coding)", "ANO1 antisense RNA 2"			
ANO2	anoctamin 2	C12orf3, TMEM16B	"chromosome 12 open reading frame 3", "transmembrane protein 16B"		"transmembrane protein 16B (eight membrane-spanning domains)"	ENSG00000047617
ANO3	anoctamin 3	C11orf25, TMEM16C	"chromosome 11 open reading frame 25", "transmembrane protein 16C"	GENX-3947, DYT23	"transmembrane protein 16C (eight membrane-spanning domains)"	ENSG00000134343
ANO4	anoctamin 4	TMEM16D	"transmembrane protein 16D"	FLJ34221, FLJ34272, FLJ35277		
ANO5	anoctamin 5	TMEM16E	"transmembrane protein 16E"	GDD1		ENSG00000171714
ANO6	anoctamin 6	TMEM16F	"transmembrane protein 16F"	DKFZp313M0720		ENSG00000177119
ANO7	anoctamin 7	PCANAP5, TMEM16G	"transmembrane protein 16G"	NGEP, PCANAP5L, IPCA-5		ENSG00000146205
ANO7P1	anoctamin 7 pseudogene 1	TMEM16M, C1orf224, ANO7L1	"transmembrane protein 16M", "chromosome 1 open reading frame 224", "anoctamin 7-like 1"			ENSG00000237276
ANO8	anoctamin 8	KIAA1623, TMEM16H	"KIAA1623", "transmembrane protein 16H"			ENSG00000074855
ANO9	anoctamin 9	TP53I5, TMEM16J	"tumor protein p53 inducible protein 5", "transmembrane protein 16J"	PIG5		ENSG00000185101
ANO10	anoctamin 10	TMEM16K	"transmembrane protein 16K"	FLJ10375, MGC47890, SCAR10		ENSG00000160746
ANOP1	anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)			MCOPS4		
ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	C15orf1		LANP, PP32, I1PP2A, PHAPI, MAPM, mapmodulin		ENSG00000140350
ANP32A-IT1	ANP32A intronic transcript 1 (non-protein coding)	C15orf28, NCRNA00321	"chromosome 15 open reading frame 28", "non-protein coding RNA 321"	FLJ11722, HsT18971		
ANP32AP1	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A pseudogene 1					ENSG00000259516
ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B			SSP29, PHAPI2, APRIL	"acidic protein rich in leucines"	ENSG00000136938
ANP32BP1	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B pseudogene 1					ENSG00000259790
ANP32BP2	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B pseudogene 2					ENSG00000231801
ANP32BP3	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B pseudogene 3					ENSG00000259461
ANP32C	acidic (leucine-rich) nuclear phosphoprotein 32 family, member C			PP32R1		ENSG00000248546
ANP32D	acidic (leucine-rich) nuclear phosphoprotein 32 family, member D			PP32R2	"pp32 related 2"	ENSG00000139223
ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E			LANPL, MGC5350, LANP-L		ENSG00000143401
ANPEP	alanyl (membrane) aminopeptidase	CD13, PEPN		LAP1, gp150, p150	"aminopeptidase N", "aminopeptidase M", "microsomal aminopeptidase"	ENSG00000166825
ANPRA~withdrawn	symbol withdrawn, see NPR1					
ANPRB~withdrawn	symbol withdrawn, see NPR2					
ANPRC~withdrawn	symbol withdrawn, see NPR3					
ANP~withdrawn	symbol withdrawn, see NPPA					
ANT1~withdrawn	symbol withdrawn, see SLC25A4					
ANT2~withdrawn	symbol withdrawn, see SLC25A5					
ANT3~withdrawn	symbol withdrawn, see SLC25A6					
ANTP2~withdrawn	entry withdrawn					
ANTP3~withdrawn	symbol withdrawn, see SLC25A5P1					
ANTP4~withdrawn	entry withdrawn					
ANTXR1	anthrax toxin receptor 1			TEM8, FLJ21776, FLJ10601, ATR	"anthrax toxin receptor", "tumor endothelial marker 8 precursor"	ENSG00000169604
ANTXR2	anthrax toxin receptor 2			CMG2, CMG-2, FLJ31074	"capillary morphogenesis protein 2"	ENSG00000163297
ANTXRL	anthrax toxin receptor-like					ENSG00000198250
ANTXRLP1	anthrax toxin receptor-like pseudogene 1					
ANX1~withdrawn	symbol withdrawn, see ANXA1					
ANX2L1~withdrawn	symbol withdrawn, see ANXA2P1					
ANX2L2~withdrawn	symbol withdrawn, see ANXA2P2					
ANX2L3~withdrawn	symbol withdrawn, see ANXA2P3					
ANX2L4~withdrawn	symbol withdrawn, see ANXA2					
ANX2LG~withdrawn	symbol withdrawn, see S100A10					
ANX2P1~withdrawn	symbol withdrawn, see ANXA2P1					
ANX2P2~withdrawn	symbol withdrawn, see ANXA2P2					
ANX2P3~withdrawn	symbol withdrawn, see ANXA2P3					
ANX2~withdrawn	symbol withdrawn, see ANXA2					
ANX3~withdrawn	symbol withdrawn, see ANXA3					
ANX4~withdrawn	symbol withdrawn, see ANXA4					
ANX5~withdrawn	symbol withdrawn, see ANXA5					
ANX6~withdrawn	symbol withdrawn, see ANXA6					
ANX7~withdrawn	symbol withdrawn, see ANXA7					
ANX8~withdrawn	symbol withdrawn, see ANXA8					
ANX11~withdrawn	symbol withdrawn, see ANXA11					
ANX13~withdrawn	symbol withdrawn, see ANXA13					
ANX31~withdrawn	symbol withdrawn, see ANXA9					
ANXA1	annexin A1	ANX1, LPC1				ENSG00000135046
ANXA2	annexin A2	ANX2, ANX2L4, CAL1H, LPC2D		LIP2	"annexin II"	ENSG00000182718
ANXA2P1	annexin A2 pseudogene 1	LPC2A, ANX2P1, ANX2L1				ENSG00000213406
ANXA2P2	annexin A2 pseudogene 2	ANX2P2, ANX2L2, LPC2B				ENSG00000231991
ANXA2P3	annexin A2 pseudogene 3	ANX2P3, ANX2L3, LPC2C		LIP2		ENSG00000216740
ANXA2R	annexin A2 receptor	C5orf39	"chromosome 5 open reading frame 39"	AXIIR		ENSG00000177721
ANXA3	annexin A3	ANX3				ENSG00000138772
ANXA4	annexin A4	ANX4				ENSG00000196975
ANXA5	annexin A5	ENX2, ANX5				ENSG00000164111
ANXA6	annexin A6	ANX6				ENSG00000197043
ANXA7	annexin A7	ANX7				ENSG00000138279
ANXA8	annexin A8	ANX8				
ANXA8L1	annexin A8-like 1			bA301J7.3		ENSG00000150165
ANXA8L2	annexin A8-like 2			bA145E20.2		ENSG00000186807
ANXA9	annexin A9	ANX31				ENSG00000143412
ANXA10	annexin A10			ANX14		ENSG00000109511
ANXA11	annexin A11	ANX11				ENSG00000122359
ANXA13	annexin A13	ANX13				ENSG00000104537
AOAH	acyloxyacyl hydrolase (neutrophil)					ENSG00000136250
AOAH-IT1	AOAH intronic transcript 1 (non-protein coding)					ENSG00000230539
AOC1	amine oxidase, copper containing 1	ABP1	"amiloride binding protein 1 (amine oxidase (copper-containing))"	DAO	"diamine oxidase"	ENSG00000002726
AOC2	amine oxidase, copper containing 2 (retina-specific)			RAO, DAO2		ENSG00000131480
AOC3	amine oxidase, copper containing 3			VAP1, HPAO, VAP-1	"vascular adhesion protein 1"	ENSG00000131471
AOC4P	amine oxidase, copper containing 4, pseudogene					ENSG00000260105
AOM~withdrawn	symbol withdrawn, see COL2A1					
AOP1~withdrawn	symbol withdrawn, see PRDX3					
AOX1	aldehyde oxidase 1			AO, AOH1		ENSG00000138356
AOX2P	aldehyde oxidase 2 pseudogene	AOX2	"aldehyde oxidase 2"	AOH2		ENSG00000243478
AOX3P	aldehyde oxidase 3, pseudogene			AOH1		ENSG00000244301
AP1AR	adaptor-related protein complex 1 associated regulatory protein	C4orf16	"chromosome 4 open reading frame 16"	PRO0971, 2C18, gamma-BAR	"gamma1-adaptin brefeldin A resistance"	ENSG00000138660
AP1B1	adaptor-related protein complex 1, beta 1 subunit	ADTB1, CLAPB2		BAM22, AP105A		ENSG00000100280
AP1B1P1	adaptor-related protein complex 1, beta 1 subunit pseudogene 1	ADTB1L1	"adaptin, beta 1-like 1"	dJ127L4.2		ENSG00000234479
AP1B1P2	adaptor-related protein complex 1, beta 1 subunit pseudogene 2	ADTB1L2	"adaptin, beta 1-like 2"	dJ127L4.3		ENSG00000232707
AP1G1	adaptor-related protein complex 1, gamma 1 subunit	CLAPG1, ADTG			"gamma1-adaptin"	ENSG00000166747
AP1G2	adaptor-related protein complex 1, gamma 2 subunit			G2AD		ENSG00000213983
AP1M1	adaptor-related protein complex 1, mu 1 subunit			AP47, CLAPM2		ENSG00000072958
AP1M2	adaptor-related protein complex 1, mu 2 subunit			HSMU1B, mu2, AP1-mu2		ENSG00000129354
AP1S1	adaptor-related protein complex 1, sigma 1 subunit	CLAPS1		AP19, SIGMA1A, WUGSC:H_DJ0747G18.2	"clathrin-associated/assembly/adaptor protein, small 1 (19kD)", "clathrin coat assembly protein AP19", "sigma1A subunit of AP-1 clathrin adaptor complex", "AP-1 complex subunit sigma-1A", "sigma1A-adaptin", "golgi adaptor HA1/AP1 adaptin sigma-1A subunit", "clathrin assembly protein complex 1 sigma-1A small chain", "HA1 19 kDa subunit"	ENSG00000106367
AP1S2	adaptor-related protein complex 1, sigma 2 subunit	MRX59	"mental retardation, X-linked 59"	SIGMA1B		ENSG00000182287
AP1S3	adaptor-related protein complex 1, sigma 3 subunit					ENSG00000152056
AP2A1	adaptor-related protein complex 2, alpha 1 subunit	CLAPA1, ADTAA				ENSG00000196961
AP2A2	adaptor-related protein complex 2, alpha 2 subunit	CLAPA2, ADTAB		DKFZP564D1864, HYPJ, KIAA0899, HIP9	"alpha-adaptin C; Huntingtin interacting protein J", "adaptin, alpha B", "clathrin-associated/assembly/adaptor protein, large, alpha 2"	ENSG00000183020
AP2B1	adaptor-related protein complex 2, beta 1 subunit	ADTB2, CLAPB1				
AP2M1	adaptor-related protein complex 2, mu 1 subunit	CLAPM1		AP50, mu2	"clathrin-associated/assembly/adaptor protein, medium 1", "plasma membrane adaptor AP-2 50kDA protein", "clathrin coat adaptor protein AP50", "clathrin adaptor complex AP2, mu subunit", "HA2 50 kDA subunit", "clathrin assembly protein complex 2 medium chain", "AP-2 mu 2 chain"	ENSG00000161203
AP2S1	adaptor-related protein complex 2, sigma 1 subunit	CLAPS2				ENSG00000042753
AP3B1	adaptor-related protein complex 3, beta 1 subunit			ADTB3A, HPS2		ENSG00000132842
AP3B2	adaptor-related protein complex 3, beta 2 subunit			NAPTB		ENSG00000103723
AP3D1	adaptor-related protein complex 3, delta 1 subunit			ADTD		ENSG00000065000
AP3M1	adaptor-related protein complex 3, mu 1 subunit					ENSG00000185009
AP3M2	adaptor-related protein complex 3, mu 2 subunit			CLA20, AP47B		ENSG00000070718
AP3S1	adaptor-related protein complex 3, sigma 1 subunit	CLAPS3				ENSG00000177879
AP3S2	adaptor-related protein complex 3, sigma 2 subunit			sigma3b		ENSG00000157823
AP4B1	adaptor-related protein complex 4, beta 1 subunit	SPG47	"spastic paraplegia 47"	BETA-4	"beta 4 subunit of AP-4"	ENSG00000134262
AP4B1-AS1	AP4B1 antisense RNA 1		"AP4B1 antisense RNA 1 (non-protein coding)"			ENSG00000226167
AP4E1	adaptor-related protein complex 4, epsilon 1 subunit			AP-4-EPSILON, SPG51		ENSG00000081014
AP4M1	adaptor-related protein complex 4, mu 1 subunit			MU-ARP2, MU-4, SPG50	"mu-adaptin-related protein-2", "mu subunit of AP-4", "AP-4 adapter complex mu subunit", "adaptor-related protein complex AP-4 mu4 subunit"	ENSG00000221838
AP4S1	adaptor-related protein complex 4, sigma 1 subunit			CLA20, AP47B, SPG52		ENSG00000100478
AP5B1	adaptor-related protein complex 5, beta 1 subunit			PP1030, AP-5, DKFZp761E198		ENSG00000254470
AP5M1	adaptor-related protein complex 5, mu 1 subunit	C14orf108, MUDENG	"chromosome 14 open reading frame 108", "MU-2/AP1M2 domain containing, death-inducing"	FLJ10813, MuD, mu5	"Mu-2 related death-inducing gene"	ENSG00000053770
AP5S1	adaptor-related protein complex 5, sigma 1 subunit	C20orf29	"chromosome 20 open reading frame 29"	FLJ11168		ENSG00000125843
AP5Z1	adaptor-related protein complex 5, zeta 1 subunit	KIAA0415	"KIAA0415"	SPG48, zeta		ENSG00000242802
APAF1	apoptotic peptidase activating factor 1		"apoptotic protease activating factor", "apoptotic peptidase activating factor"	CED4, APAF-1		ENSG00000120868
APAH1~withdrawn	symbol withdrawn, see NUDT2					
APBA1	amyloid beta (A4) precursor protein-binding, family A, member 1	MINT1		D9S411E, X11		ENSG00000107282
APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2	X11L, MINT2	"X11-like", "amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)"	D15S1518E, LIN-10, MGC:14091, HsT16821		ENSG00000034053
APBA3	amyloid beta (A4) precursor protein-binding, family A, member 3			X11L2, mint3	"X11-like 2"	ENSG00000011132
APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	RIR		Fe65		ENSG00000166313
APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein			INAG1, RIAM	"Rap1-GTP-interacting adaptor molecule"	ENSG00000077420
APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2			FE65L, FE65L1, MGC35575	"Fe65-like"	ENSG00000163697
APBB3	amyloid beta (A4) precursor protein-binding, family B, member 3			FE65L2		ENSG00000113108
APC	adenomatous polyposis coli		"adenomatosis polyposis coli"	DP2, DP3, DP2.5, PPP1R46	"protein phosphatase 1, regulatory subunit 46"	ENSG00000134982
APC2	adenomatosis polyposis coli 2			APCL	"adenomatous polyposis coli like"	ENSG00000115266
APCDD1	adenomatosis polyposis coli down-regulated 1			B7323		ENSG00000154856
APCDD1L	adenomatosis polyposis coli down-regulated 1-like			FLJ90166		ENSG00000198768
APCDD1L-AS1	APCDD1L antisense RNA 1 (head to head)		"APCDD1L antisense RNA 1 (non-protein coding)", "APCDD1L antisense RNA 1"			ENSG00000231290
APCS	amyloid P component, serum			SAP, PTX2, MGC88159	"pentaxin-related", "9.5S alpha-1-glycoprotein"	ENSG00000132703
APECED~withdrawn	symbol withdrawn, see AIRE					
APEH	acylaminoacyl-peptide hydrolase	D3F15S2, DNF15S2, D3S48E	"N-acylaminoacyl-peptide hydrolase"		"acylaminoacyl-peptidase"	ENSG00000164062
APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	APEX	"APEX nuclease (multifunctional DNA repair enzyme)"	APE, REF1, HAP1, APX, APEN, REF-1, APE-1		ENSG00000100823
APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2			APEXL2, APE2, XTH2		ENSG00000169188
APH1A	APH1A gamma secretase subunit		"anterior pharynx defective 1 homolog A (C. elegans)"	APH-1A, CGI-78		
APH1B	APH1B gamma secretase subunit		"anterior pharynx defective 1 homolog B (C. elegans)"	PSFL, APH-1B, DKFZp564D0372		ENSG00000138613
API1~withdrawn	symbol withdrawn, see BIRC2					
API2~withdrawn	symbol withdrawn, see BIRC3					
API3~withdrawn	symbol withdrawn, see XIAP					
API4~withdrawn	symbol withdrawn, see BIRC5					
API5	apoptosis inhibitor 5			AAC-11, API5L1, AAC11	"API5-like 1", "fibroblast growth factor 2-interacting factor 2", "migration-inducing protein MIG8"	ENSG00000166181
API5P1	API5 pseudogene 1	API5L1	"API5-like 1"			
API5P2	API5 pseudogene 2					ENSG00000213962
API6~withdrawn	symbol withdrawn, see CD5L					
APIP	APAF1 interacting protein			CGI-29, Mmrp19, APIP2	"methylthioribulose-1-phosphate dehydratase"	ENSG00000149089
APITD1	apoptosis-inducing, TAF9-like domain 1			CENPS, CENP-S, MHF1, FAAP16	"centromere protein S"	ENSG00000175279
APITD1-CORT	APITD1-CORT readthrough					ENSG00000251503
APLF	aprataxin and PNKP like factor	C2orf13	"chromosome 2 open reading frame 13"	MGC47799, Xip1	"XRCC1-interacting protein 1"	ENSG00000169621
APLN	apelin		"apelin, AGTRL1 ligand"	apelin, XNPEP2		ENSG00000171388
APLNR	apelin receptor	AGTRL1	"angiotensin II receptor-like 1"	FLJ90771, APJ, APJR	"APJ (apelin) receptor"	ENSG00000134817
APLP1	amyloid beta (A4) precursor-like protein 1			APLP	"amyloid-like protein 1", "amyloid precursor-like protein 1"	ENSG00000105290
APLP2	amyloid beta (A4) precursor-like protein 2	APPL2		APPH		ENSG00000084234
APMAP	adipocyte plasma membrane associated protein	C20orf3	"chromosome 20 open reading frame 3"	BSCv		ENSG00000101474
APNH~withdrawn	symbol withdrawn, see SLC9A1					
APOA1	apolipoprotein A-I					ENSG00000118137
APOA1-AS	APOA1 antisense RNA					
APOA1BP	apolipoprotein A-I binding protein			AIBP, MGC119143, MGC119144, MGC119145, YJEFN1	"apoA-I binding protein"	ENSG00000163382
APOA2	apolipoprotein A-II					ENSG00000158874
APOA4	apolipoprotein A-IV					ENSG00000110244
APOA5	apolipoprotein A-V			RAP3, APOA-V		ENSG00000110243
APOAL~withdrawn	symbol withdrawn, see LPAL2					
APOB	apolipoprotein B		"apolipoprotein B (including Ag(x) antigen)"			ENSG00000084674
APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1			BEDP, CDAR1, APOBEC-1, HEPR		ENSG00000111701
APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2			ARCD1, ARP1		ENSG00000124701
APOBEC3A	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A			ARP3, PHRBN	"phorbolin I"	
APOBEC3AP1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A pseudogene 1					ENSG00000248822
APOBEC3A_B	APOBEC3A and APOBEC3B deletion hybrid					
APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B			PHRBNL, FLJ21201	"phorbolin 3"	ENSG00000179750
APOBEC3B-AS1	APOBEC3B antisense RNA 1		"APOBEC3B antisense RNA 1 (non-protein coding)"			
APOBEC3C	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C			APOBEC1L, PBI, bK150C2.3, ARDC2, ARDC4, ARP5		ENSG00000244509
APOBEC3D	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D	APOBEC3E	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D (putative)", "apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3E pseudogene"	ARP6, APOBEC3DE		ENSG00000243811
APOBEC3E~withdrawn	symbol withdrawn, see APOBEC3D					
APOBEC3F	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F			ARP8, BK150C2.4.MRNA, KA6		ENSG00000128394
APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G			CEM15, MDS019, dJ494G10.1, FLJ12740, bK150C2.7		ENSG00000239713
APOBEC3H	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H			ARP10		ENSG00000100298
APOBEC4	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)	C1orf169	"chromosome 1 open reading frame 169"	MGC26594, FLJ25691, RP1-127C7.4		ENSG00000173627
APOBER1~withdrawn	entry withdrawn					
APOBR	apolipoprotein B receptor			APOB48R, APOB100R	"apolipoprotein B48 receptor", "apolipoprotein B100 receptor"	ENSG00000184730
APOC1	apolipoprotein C-I					ENSG00000130208
APOC1P1	apolipoprotein C-I pseudogene 1					ENSG00000214855
APOC2	apolipoprotein C-II					ENSG00000234906
APOC3	apolipoprotein C-III					ENSG00000110245
APOC4	apolipoprotein C-IV					ENSG00000267467
APOC4-APOC2	APOC4-APOC2 readthrough (NMD candidate)		"APOC4-APOC2 readthrough"			ENSG00000224916
APOD	apolipoprotein D					ENSG00000189058
APOE	apolipoprotein E	AD2	"Alzheimer disease 2 (APOE*E4-associated, late onset)"			ENSG00000130203
APOEL1~withdrawn	entry withdrawn					
APOF	apolipoprotein F					ENSG00000175336
APOH	apolipoprotein H (beta-2-glycoprotein I)	B2G1		BG	"beta-2-glycoprotein I"	ENSG00000091583
APOJ~withdrawn	symbol withdrawn, see CLU					
APOL1	apolipoprotein L, 1	APOL				ENSG00000100342
APOL2	apolipoprotein L, 2			APOL-II	"apolipoprotein L-II"	ENSG00000128335
APOL3	apolipoprotein L, 3			CG12-1, APOLIII		ENSG00000128284
APOL4	apolipoprotein L, 4			APOLIV		ENSG00000100336
APOL5	apolipoprotein L, 5			APOLV		ENSG00000128313
APOL6	apolipoprotein L, 6			APOL-VI, APOLVI		ENSG00000221963
APOLD1	apolipoprotein L domain containing 1			FLJ25138, DKFZP434F0318		ENSG00000178878
APOM	apolipoprotein M			ApoM, G3a, NG20		
APOO	apolipoprotein O	FAM121B	"family with sequence similarity 121B"	MGC4825, My025		ENSG00000184831
APOOL	apolipoprotein O-like	CXorf33, FAM121A	"chromosome X open reading frame 33", "family with sequence similarity 121A"	UNQ8193, AAIR8193		ENSG00000155008
APOOP1	apolipoprotein O pseudogene 1					ENSG00000270560
APOOP2	apolipoprotein O pseudogene 2					ENSG00000240902
APOOP3	apolipoprotein O pseudogene 3					ENSG00000255700
APOOP4	apolipoprotein O pseudogene 4					ENSG00000248122
APOOP5	apolipoprotein O pseudogene 5					ENSG00000260013
APOPT1	apoptogenic 1, mitochondrial	C14orf153	"chromosome 14 open reading frame 153", "apoptogenic 1"	MGC2562, APOP-1	"apoptogenic protein 1"	ENSG00000256053
APP	amyloid beta (A4) precursor protein	AD1	"Alzheimer disease"		"peptidase nexin-II"	ENSG00000142192
